SLRID,longitude,latitude,shape,scale,lambda,thresh,dataset
1164,152.17,-4.2,-0.816812108,0.085025502,1.125,0.5786921898,Rasmussen
1159,122.1973,-17.99479,-0.582946095812909,0.749293897583388,20.5277777777765,3.81717427885247,Kirezci
1008603080,-52.17773,4.869792,-0.572159187655176,0.260339476279315,21.6388888888908,1.26704291453157,Kirezci
1600,39.28711,-6.796874,-0.551525519268118,0.329371965735263,24.4722222222187,1.73413673791127,Kirezci
537,125.7715,7.369792,-0.527808364931485,0.165790079271808,26.9722222222186,0.929733031231119,Kirezci
2198,40.92773,-2.317707,-0.511322049677192,0.28812903375729,26.0833333333331,1.60200539355382,Kirezci
1009203180,-41.68945,-2.890624,-0.549434835394489,0.299364888908829,20.0000000000011,1.53664464498963,Kirezci
1009400400,39.55078,-4.218749,-0.517317834177275,0.307074203130249,25.5000000000012,1.69394242041924,Kirezci
1010400480,48.25195,-13.41146,-0.552542535014739,0.324620537801369,23.9166666666634,1.66212853434121,Kirezci
1571,-82.88086,8.255209,-0.511375697337211,0.278034767862629,21.444444444446,1.51996645247092,Kirezci
1116,128.1445,-15.23437,-0.5402001289722,0.49976004403779,27.7777777777758,2.74345942139956,Kirezci
1600,39.16992,-6.171874,-0.52886783219428,0.362826970419839,25.083333333333,1.83265353648307,Kirezci
1007803440,-15.67383,11.79688,-0.574707184447632,0.400837039962178,21.8055555555559,2.07267053786951,Kirezci
1009401340,133.6816,-3.567708,-0.532498720548505,0.184181309987734,28.5000000000023,0.995933445780317,Kirezci
1010000400,39.78516,-9.859747,-0.571982859661356,0.331516649082056,23.8333333333296,1.72260760983396,Kirezci
1600,39.16992,-6.588541,-0.556541440782282,0.342644391433274,24.6388888888896,1.75126724991727,Kirezci
1009400400,39.78516,-3.906249,-0.520923104967062,0.310259990546858,25.1666666666677,1.69377953829427,Kirezci
1008800440,44.00391,1.093751,-0.513298568081556,0.250645186252909,27.4444444444452,1.4093937700585,Kirezci
417,88.03711,21.74479,-0.502109030459729,0.455963575629815,26.4722222222177,2.47102400090701,Kirezci
1009401200,120.3809,-4.296874,-0.521532558982842,0.144377078020636,29.444444444444,0.866218894958426,Kirezci
1005802460,-114.6973,31.69271,-0.596575175302237,0.741657729054392,23.249999999999,2.98795351254645,Kirezci
1008202800,-80.00977,8.411459,-0.523970964007847,0.382191013866671,20.5833333333329,2.20911066469209,Kirezci
639,-79.01367,1.328126,-0.50497514953069,0.282465635767356,19.277777777778,1.51901622367259,Kirezci
580,-48.48633,-1.223958,-0.511385401226395,0.320333616287072,22.9722222222245,1.87840631517099,Kirezci
581,-78.89648,8.463542,-0.502828210661352,0.370173632499466,20.9444444444428,2.23400745046387,Kirezci
1600,39.52148,-6.171874,-0.54696690066107,0.326060895490145,24.4444444444431,1.72188421122856,Kirezci
1010400480,47.43164,-14.66146,-0.525062371106849,0.323203765690665,23.1666666666704,1.7098273393977,Kirezci
1007803440,-15.55664,11.84896,-0.580576082190313,0.396148169433522,21.4999999999998,2.01841934984701,Kirezci
1007803440,-15.9668,11.74479,-0.513879597826245,0.331449779010388,23.5833333333321,1.83085200418314,Kirezci
1007803440,-15.61523,11.84896,-0.559496295092654,0.389460280229964,22.2777777777779,2.06163945676069,Kirezci
1007803440,-15.49805,11.79688,-0.566689122742991,0.389621211375288,21.7222222222226,2.01886249183696,Kirezci
1007803440,-15.43945,11.53646,-0.508030115968697,0.370365865886601,25.027777777774,2.09975631525342,Kirezci
1008201220,122.6074,7.734376,-0.528946491644225,0.211289461110616,25.6666666666671,1.15877420501429,Kirezci
1008600080,8.701172,4.348959,-0.505670122005136,0.221504610483231,20.2222222222227,0.979285922885365,Kirezci
1010400400,40.63477,-14.45312,-0.577257543926504,0.337752465731208,21.8611111111127,1.7391175217905,Kirezci
1010400400,40.63477,-14.08854,-0.553021764393429,0.330378094093736,22.2499999999997,1.75432555635923,Kirezci
1010400400,40.51758,-13.46354,-0.538744358647294,0.326589079065641,22.8055555555579,1.76342544793472,Kirezci
1010200400,40.57617,-12.63021,-0.520965687421987,0.322139929922953,23.3611111111102,1.7692250381138,Kirezci
1010200400,40.51758,-12.05729,-0.551530104162953,0.332090656003434,22.9722222222234,1.72447965951533,Kirezci
1010200400,40.45898,-11.58854,-0.529687852166449,0.323653974982211,23.5555555555568,1.74528223410805,Kirezci
1010200400,40.45898,-11.22396,-0.54939538043771,0.334213300639463,23.7222222222188,1.72516708471524,Kirezci
1010000400,40.51758,-10.75521,-0.516065826463677,0.318991175688517,23.638888888888,1.75164631122441,Kirezci
1010000400,40.2832,-10.28646,-0.547513245509353,0.32370210614532,24.2222222222198,1.71964267862122,Kirezci
1010000400,40.16602,-10.23437,-0.565838304758586,0.329994642799635,23.8888888888855,1.71812143435697,Kirezci
1010000400,39.99023,-10.13021,-0.562586834897037,0.328824143189197,23.9444444444474,1.72355124580011,Kirezci
1010000400,39.69727,-9.635416,-0.570779667048873,0.331597308535458,23.8611111111104,1.72276498564574,Kirezci
1010000400,39.69727,-9.453124,-0.553560759025929,0.326720040262925,23.8611111111094,1.73141145966307,Kirezci
1009800400,39.46289,-8.776041,-0.529321251069721,0.320236549403446,24.1944444444418,1.73520620272022,Kirezci
1009800400,39.28711,-8.411458,-0.528735638627528,0.324528262575675,24.4166666666646,1.77796191296191,Kirezci
1009800400,39.3457,-8.307291,-0.557864669470621,0.336335772324953,24.1111111111098,1.77635915849729,Kirezci
1009800400,39.46289,-7.838541,-0.542093242972539,0.347065380237983,24.1111111111096,1.80726575786105,Kirezci
1600,39.55078,-7.015016,-0.553077352976838,0.327939688542872,24.6111111111127,1.74745281402232,Kirezci
1009800400,39.4043,-7.265624,-0.508971968170586,0.321988836278997,24.5277777777763,1.77292805060518,Kirezci
1600,39.3457,-6.848958,-0.573195727640564,0.336077435818403,24.6111111111126,1.73616015951221,Kirezci
1600,39.11133,-6.536458,-0.556212559039983,0.353437884615877,24.6388888888885,1.79995856909205,Kirezci
1600,38.87695,-6.328124,-0.541295265328491,0.370638367134179,25.1388888888866,1.84072205966529,Kirezci
1600,38.75977,-6.015624,-0.532000643773059,0.362893675331702,25.3333333333368,1.83725293697952,Kirezci
